aisle_id,aisle
1,Nature Box
2,specialty cheeses
3,energy granola bars
4,ZenPop
5,World Sampler
6,FitSnack
7,Vegan Cuts
8,bakery desserts
9,MunchPak
10,kitchen supplies
11,KetoKrate
12,fresh pasta
13,KetoKrate
14,tofu meat alternatives
15,packaged seafood
16,fresh herbs
17,baking ingredients
18,bulk dried fruits vegetables
19,oils vinegars
20,oral hygiene
21,packaged cheese
22,hair care
23,popcorn jerky
24,fresh fruits
25,soap
26,coffee
27,Snakku
28,red wines
29,Love with food
30,latino foods
31,Candy Club
32,packaged produce
33,kosher foods
34,frozen meat seafood
35,poultry counter
36,butter
37,ice cream ice
38,frozen meals
39,seafood counter
40,dog food care
41,cat food care
42,frozen vegan vegetarian
43,buns rolls
44,eye ear care
45,candy chocolate
46,mint gum
47,vitamins supplements
48,breakfast bars pastries
49,packaged poultry
50,fruit vegetable snacks
51,preserved dips spreads
52,frozen breakfast
53,cream
54,paper goods
55,shave needs
56,diapers wipes
57,granola
58,frozen breads doughs
59,canned meals beans
60,trash bags liners
61,cookies cakes
62,white wines
63,grains rice dried goods
64,energy sports drinks
65,protein meal replacements
66,asian foods
67,fresh dips tapenades
68,bulk grains rice dried goods
69,soup broth bouillon
70,digestion
71,refrigerated pudding desserts
72,condiments
73,facial care
74,dish detergents
75,laundry
76,indian foods
77,soft drinks
78,crackers
79,frozen pizza
80,deodorants
81,canned jarred vegetables
82,baby accessories
83,fresh vegetables
84,milk
85,food storage
86,eggs
87,more household
88,spreads
89,salad dressing toppings
90,cocoa drink mixes
91,soy lactosefree
92,baby food formula
93,breakfast bakery
94,tea
95,canned meat seafood
96,lunch meat
97,baking supplies decor
98,juice nectars
99,canned fruit applesauce
100,missing
101,air fresheners candles
102,baby bath body care
103,ice cream toppings
104,spices seasonings
105,doughs gelatins bake mixes
106,hot dogs bacon sausage
107,chips pretzels
108,other creams cheeses
109,skin care
110,pickled goods olives
111,plates bowls cups flatware
112,bread
113,frozen juice
114,cleaning products
115,water seltzer sparkling water
116,frozen produce
117,nuts seeds dried fruit
118,first aid
119,frozen dessert
120,yogurt
121,cereal
122,meat counter
123,packaged vegetables fruits
124,spirits
125,trail mix snack mix
126,feminine care
127,body lotions soap
128,tortillas flat bread
129,frozen appetizers sides
130,hot cereal pancake mixes
131,dry pasta
132,beauty
133,muscles joints pain relief
134,specialty wines champagnes
